Subcategory,ITEM_DESC,SOURCE,ITEM,Subcategory2
Admin Fees,*CAA FEE-CAMBODIA,Services,2CAAF,
Admin Fees,*CAA FEE-CIVIL AVIATION AUTHORITY,Services,2CAAF,
Admin Fees,*CAA FEE-CIVIL AVIATION AUTHORITY TAX,Services,2CAAF,
Admin Fees,*CAA FEE-COTE D IVORE,Services,2CAAF,
Admin Fees,"*CAA FEE-COTE D""IVOIRE",Services,2CAAF,
Admin Fees,*CAA FEE-COTE D'IVOIRE,Services,2CAAF,
Admin Fees,*CAA FEE-COTE D'IVOIRE X2,Services,2CAAF,
Admin Fees,*CAA FEE-INBOUND,Services,2CAAF,
Admin Fees,*CAA FEE-IVORY COAST,Services,2CAAF,
Admin Fees,*CAA FEE-IVORY COAST,Services,2CAAF,
Admin Fees,*CAA FEE-MAURITANIA,Services,2CAAF,
Admin Fees,*CAA FEE-OUTBOUND,Services,2CAAF,
Admin Fees,*CAA FEE-PACA CHARGES 2016 TO CURRENT,Services,2CAAF,
Admin Fees,*CAA FEE-PAKISTAN,Services,2CAAF,
Admin Fees,*CAA FEE-PROCESSING FEE,Services,2CAAF,
Admin Fees,*CAA FEE-SAUDI ARABIA,Services,2CAAF,
Admin Fees,*CAA FEE-SAUDI ARABIA,Services,2CAAF,
Admin Fees,*CAA FEE-SIERRA LEONE,Services,2CAAF,
Admin Fees,*CAA FEES (CIVIL AVIATION AUTHORITY FEES),Services,7CAAF,
Admin Fees,*CAA FEES (CIVIL AVIATION AUTHORITY FEES)-BELGIUM,Services,7CAAF,
Admin Fees,*CAA FEES (CIVIL AVIATION AUTHORITY FEES)-INTERNATIONALIZATION,Services,7CAAF,
Admin Fees,*CAA FEES (CIVIL AVIATION AUTHORITY FEES)-SAUDI ARABIA,Services,7CAAF,
Admin Fees,*CAA FEES (CIVIL AVIATION AUTHORITY FEES)-VSAT FEE,Services,7CAAF,
Admin Fees,*CALL OUT FEE-CALLOUT/AFTERHOURS,Services,2COF,
Admin Fees,*CANCELLATION FEES-BELARUS,Services,2HY,
Admin Fees,*CANCELLATION FEES-CANCELLATION FEE 11.02.2020,Services,2HY,
Admin Fees,*CANCELLATION FEES-CAR CANCELLATION,Services,2HY,
Admin Fees,*CANCELLATION FEES-FLIGHT,Services,2HY,
Admin Fees,*CANCELLATION FEES-FLIGHT CANCELLED,Services,7HY,
Admin Fees,*CANCELLATION FEES-LATE CANCELLATION FEE,Services,7HY,
Admin Fees,*CANCELLATION FEES-OVERFLIGHT - URGENT - LAO PEOPLES DEMOCRATIC REPUBLIC,Services,2HY,
Admin Fees,*CANCELLATION FEES-PAKISTAN,Services,2HY,
Admin Fees,*CANCELLATION FEES-REPUBLIC OF KOREA,Services,2HY,
Admin Fees,*CANCELLATION FEES-RUSSIAN FEDERATION,Services,2HY,
Admin Fees,*CANCELLATION FEES-SHORT NOTICE,Services,2HY,
Admin Fees,*CANCELLATION FEES-TRANSPORTATION,Services,2HY,
Admin Fees,*CANCELLATION FEES-TURKMENISTAN,Services,2HY,
Admin Fees,"*CANCELLATION FEES-VEGY,VEBN,VEKO,VEBN,VAUD,VIJP,VIDP",Services,2HY,
Admin Fees,*CAA FEE,Services,,
Hangar Services,APU/GPU CHARGES,Retail,2APU,
APIS,APIS COORDINATION -ARRIVAL-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION -ARRIVAL-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -CARICOM-SAINT VINCENT AND THE GRENADINES,Services,1APIS,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -CHARTER-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -COLOMBIA-ARRIVAL-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION -COLOMBIA-DEPARTURE-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION -DEPARTURE-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION -ARRIVAL-COLOMBIA,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-UNITED STATES,Services,,
APIS,APIS COORDINATION -CHARTER-DEPARTURE-UNITED STATES,Services,,
APIS,APIS COORDINATION -CHARTER-REVISION-UNITED STATES,Services,,
APIS,APIS COORDINATION -CHARTER-REVISION-UNITED STATES,Services,,
APIS,APIS COORDINATION -COLOMBIA-ARRIVAL-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-ARRIVAL-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-ARRIVAL-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-ARRIVAL-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -COLOMBIA-DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -DEPARTURE-COLOMBIA,Services,,
APIS,APIS COORDINATION -CARICOM-SAINT VINCENT AND THE GRENADINES,Services,,
APIS,APIS COORDINATION -CARICOM-SAINT VINCENT AND THE GRENADINES,Services,,
APIS,APIS COORDINATION -ARRIVAL-REVISION-UNITED STATES,Services,,
APIS,*APIS NOTIFICATIONS-IN/OUT,Services,2APIS,
APIS,APIS CARICOM,Services,1APIS,
APIS,APIS CARICOM-ANTIGUA AND BARBUDA,Services,1APIS,
APIS,APIS CARICOM-BARBADOS,Services,1APIS,
APIS,APIS CARICOM-CAYMAN ISLANDS,Services,1APIS,
APIS,APIS CARICOM-CAYMAN ISLANDS-DEPARTURE,Services,1APIS,
APIS,APIS CARICOM-GRENADA,Services,1APIS,
APIS,APIS CARICOM-GUYANA,Services,1APIS,
APIS,APIS CARICOM-JAMAICA,Services,1APIS,
APIS,APIS CARICOM-REVISION-BARBADOS,Services,1APIS,
APIS,APIS CARICOM-REVISION-CAYMAN ISLANDS,Services,1APIS,
APIS,APIS CARICOM-REVISION-JAMAICA,Services,1APIS,
APIS,APIS CARICOM-REVISION-SAINT VINCENT ARRIVAL,Services,1APIS,
APIS,APIS CARICOM-REVISION-SAINT VINCENT DEPARTURE,Services,1APIS,
APIS,APIS CARICOM-SAINT KITTS AND NEVIS,Services,1APIS,
APIS,APIS CARICOM-SAINT LUCIA,Services,1APIS,
APIS,APIS CARICOM-SAINT VINCENT AND THE GRENADINES,Services,1APIS,
APIS,APIS CARICOM-SAINT VINCENT ARRIVAL,Services,1APIS,
APIS,APIS CARICOM-SAINT VINCENT DEPARTURE,Services,1APIS,
APIS,APIS CARICOM-TRINIDAD AND TOBAGO,Services,1APIS,
APIS,APIS COORDINATION -ARRIVAL-MEXICO,Services,1APIS,
APIS,APIS COORDINATION -ARRIVAL-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -CARICOM -REVISION-CAYMAN ISLANDS,Services,1APIS,
APIS,APIS COORDINATION -CARICOM -REVISION-SAINT VINCENT AND THE GRENADINES,Services,1APIS,
APIS,APIS COORDINATION -CARICOM-CAYMAN ISLANDS,Services,1APIS,
APIS,APIS COORDINATION -CHARTER-ARRIVAL-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -DEPARTURE-MEXICO,Services,1APIS,
APIS,APIS COORDINATION -DEPARTURE-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -MEXICO-ARRIVAL-MEXICO,Services,1APIS,
APIS,APIS COORDINATION -MEXICO-DEPARTURE-MEXICO,Services,1APIS,
APIS,APIS COORDINATION -PRIVATE-ARRIVAL,Services,1APIS,
APIS,APIS COORDINATION -PRIVATE-ARRIVAL-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION -PRIVATE-DEPARTURE-REVISION-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-ARRIVAL,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-ARRIVAL-PUERTO RICO,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-ARRIVAL-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-DEPARTURE,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-DEPARTURE-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-DEPARTURE-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-DEPARTURE-PUERTO RICO,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-DEPARTURE-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-DEPARTURE-UNITED STATES VIRGIN ISLANDS,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-REVISION,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-REVISION-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-REVISION-MEXICO,Services,1APIS,
APIS,APIS COORDINATION-CHARTER-REVISION-UNITED STATES,Services,1APIS,
APIS,APIS COORDINATION-COLOMBIA-ARRIVAL-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION-COLOMBIA-DEPARTURE-COLOMBIA,Services,1APIS,
APIS,APIS COORDINATION-MEXICO-ARRIVAL,Services,1APIS,
